record_name,measured_gwl,caution_flag,latitude,longitude,nztm_y,nztm_x,model_gwl,measured_minus_model,type,type_as_number
CPT_74,2.2,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.5052319,172.687020327,5183030.002538149,1574699.546877625,0.2570700645446777,1.9429299354553224,cpt,1
CPT_75,1.7,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.505543913,172.68872927,5182995.869013738,1574837.8230041713,0.4919610023498535,1.2080389976501464,cpt,1
CPT_76,5.0,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.506302676,172.690831544,5182912.235567967,1575008.0775507854,0.5641040802001953,4.435895919799805,cpt,1
CPT_77,1.9,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.505682094,172.692386018,5182981.621939388,1575133.480241238,0.5641040802001953,1.3358959197998046,cpt,1
CPT_78,1.7,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.504540429,172.693322233,5183108.692530373,1575208.6936703324,0.3991880416870117,1.3008119583129882,cpt,1
CPT_79,2.0,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.503874144,172.694554749,5183183.055344233,1575308.056644034,0.521216869354248,1.478783130645752,cpt,1
CPT_80,3.5,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.503242652,172.696594413,5183253.790802648,1575472.6858302795,0.378220796585083,3.121779203414917,cpt,1
CPT_81,0.7,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.504638547,172.698884141,5183099.437433318,1575658.3484533294,0.799140214920044,-0.0991402149200439,cpt,1
CPT_82,1.4,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.504292353,172.699941734,5183138.193890791,1575743.7037528884,0.799140214920044,0.600859785079956,cpt,1
CPT_83,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.503290278,172.69985033,5183249.455892774,1575735.913435866,0.799140214920044,1.200859785079956,cpt,1
